Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Publications	Geo_Location	Country	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	Type	Group	date	strain
OP712046.1	human papillomavirus 44	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E06_HPV44	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7836	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 44 isolate V523E06_HPV44, complete genome	HPV_44	Global	2017-08-15	OP712046_1|Global|HPV_44|V523E06_HPV44|2017-08-15
OP712047.1	human papillomavirus 52	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E06_HPV52	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7933	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 52 isolate V523E06_HPV52, complete genome	HPV_52	Global	2017-08-15	OP712047_1|Global|HPV_52|V523E06_HPV52|2017-08-15
OP712048.1	Human papillomavirus type 53	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E06_HPV53	Alphapapillomavirus 6	Alphapapillomavirus	Papillomaviridae	dsDNA	7859	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus type 53 isolate V523E06_HPV53, complete genome	HPV_53	Global	2017-08-15	OP712048_1|Global|HPV_53|V523E06_HPV53|2017-08-15
OP712049.1	human papillomavirus 56	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E06_HPV56	Alphapapillomavirus 6	Alphapapillomavirus	Papillomaviridae	dsDNA	7839	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 56 isolate V523E06_HPV56, complete genome	HPV_56	Global	2017-08-15	OP712049_1|Global|HPV_56|V523E06_HPV56|2017-08-15
OP712050.1	human papillomavirus 59	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E06_HPV59	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7898	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 59 isolate V523E06_HPV59, complete genome	HPV_59	Global	2017-08-15	OP712050_1|Global|HPV_59|V523E06_HPV59|2017-08-15
OP712051.1	Human papillomavirus type 6	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E06_HPV6	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7990	partial	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus type 6 isolate V523E06_HPV6, partial genome	HPV_6	Global	2017-08-15	OP712051_1|Global|HPV_6|V523E06_HPV6|2017-08-15
OP712052.1	Human papillomavirus type 61	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E06_HPV61	Alphapapillomavirus 3	Alphapapillomavirus	Papillomaviridae	dsDNA	7986	partial	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus type 61 isolate V523E06_HPV61, partial genome	HPV_61	Global	2017-08-15	OP712052_1|Global|HPV_61|V523E06_HPV61|2017-08-15
OP712053.1	human papillomavirus 72	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E06_HPV72	Alphapapillomavirus 3	Alphapapillomavirus	Papillomaviridae	dsDNA	7988	partial	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 72 isolate V523E06_HPV72, partial genome	HPV_72	Global	2017-08-15	OP712053_1|Global|HPV_72|V523E06_HPV72|2017-08-15
OP712054.1	human papillomavirus 74	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E06_HPV74	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7860	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 74 isolate V523E06_HPV74, complete genome	HPV_74	Global	2017-08-15	OP712054_1|Global|HPV_74|V523E06_HPV74|2017-08-15
OP712055.1	Human papillomavirus type 90	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E06_HPV90	Alphapapillomavirus 14	Alphapapillomavirus	Papillomaviridae	dsDNA	8029	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus type 90 isolate V523E06_HPV90, complete genome	HPV_90	Global	2017-08-15	OP712055_1|Global|HPV_90|V523E06_HPV90|2017-08-15
OP712056.1	human papillomavirus 18	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E07_HPV18	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7844	partial	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 18 isolate V523E07_HPV18, partial genome	HPV_18	Global	2017-08-15	OP712056_1|Global|HPV_18|V523E07_HPV18|2017-08-15
OP712057.1	human papillomavirus 51	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E07_HPV51	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7815	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 51 isolate V523E07_HPV51, complete genome	HPV_51	Global	2017-08-15	OP712057_1|Global|HPV_51|V523E07_HPV51|2017-08-15
OP712058.1	human papillomavirus 56	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E07_HPV56	Alphapapillomavirus 6	Alphapapillomavirus	Papillomaviridae	dsDNA	7829	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 56 isolate V523E07_HPV56, complete genome	HPV_56	Global	2017-08-15	OP712058_1|Global|HPV_56|V523E07_HPV56|2017-08-15
OP712059.1	human papillomavirus 66	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E07_HPV66	Alphapapillomavirus 6	Alphapapillomavirus	Papillomaviridae	dsDNA	7816	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 66 isolate V523E07_HPV66, complete genome	HPV_66	Global	2017-08-15	OP712059_1|Global|HPV_66|V523E07_HPV66|2017-08-15
OP712060.1	human papillomavirus 44	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E08_HPV44	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7815	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 44 isolate V523E08_HPV44, complete genome	HPV_44	Global	2017-08-15	OP712060_1|Global|HPV_44|V523E08_HPV44|2017-08-15
OP712061.1	human papillomavirus 45	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E08_HPV45	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7858	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 45 isolate V523E08_HPV45, complete genome	HPV_45	Global	2017-08-15	OP712061_1|Global|HPV_45|V523E08_HPV45|2017-08-15
OP712062.1	human papillomavirus 52	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E08_HPV52	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7936	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 52 isolate V523E08_HPV52, complete genome	HPV_52	Global	2017-08-15	OP712062_1|Global|HPV_52|V523E08_HPV52|2017-08-15
OP712063.1	Human papillomavirus type 53	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E08_HPV53	Alphapapillomavirus 6	Alphapapillomavirus	Papillomaviridae	dsDNA	7863	partial	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus type 53 isolate V523E08_HPV53, partial genome	HPV_53	Global	2017-08-15	OP712063_1|Global|HPV_53|V523E08_HPV53|2017-08-15
OP712064.1	human papillomavirus 58	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E08_HPV58	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7820	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 58 isolate V523E08_HPV58, complete genome	HPV_58	Global	2017-08-15	OP712064_1|Global|HPV_58|V523E08_HPV58|2017-08-15
OP712065.1	Human papillomavirus type 6	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E08_HPV6	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7990	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus type 6 isolate V523E08_HPV6, complete genome	HPV_6	Global	2017-08-15	OP712065_1|Global|HPV_6|V523E08_HPV6|2017-08-15
OP712066.1	human papillomavirus 62	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E08_HPV62	Alphapapillomavirus 3	Alphapapillomavirus	Papillomaviridae	dsDNA	8092	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 62 isolate V523E08_HPV62, complete genome	HPV_62	Global	2017-08-15	OP712066_1|Global|HPV_62|V523E08_HPV62|2017-08-15
OP712067.1	human papillomavirus 35	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E09_HPV35	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7879	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 35 isolate V523E09_HPV35, complete genome	HPV_35	Global	2017-08-15	OP712067_1|Global|HPV_35|V523E09_HPV35|2017-08-15
OP712068.1	Human papillomavirus type 61	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E09_HPV61	Alphapapillomavirus 3	Alphapapillomavirus	Papillomaviridae	dsDNA	7982	partial	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus type 61 isolate V523E09_HPV61, partial genome	HPV_61	Global	2017-08-15	OP712068_1|Global|HPV_61|V523E09_HPV61|2017-08-15
OP712069.1	human papillomavirus 82	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E09_HPV82	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7874	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 82 isolate V523E09_HPV82, complete genome	HPV_82	Global	2017-08-15	OP712069_1|Global|HPV_82|V523E09_HPV82|2017-08-15
OP712070.1	human papillomavirus 18	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E10_HPV18	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7844	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 18 isolate V523E10_HPV18, complete genome	HPV_18	Global	2017-08-15	OP712070_1|Global|HPV_18|V523E10_HPV18|2017-08-15
OP712071.1	human papillomavirus 59	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E10_HPV59	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7897	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 59 isolate V523E10_HPV59, complete genome	HPV_59	Global	2017-08-15	OP712071_1|Global|HPV_59|V523E10_HPV59|2017-08-15
OP712072.1	human papillomavirus 33	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E11_HPV33	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7909	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 33 isolate V523E11_HPV33, complete genome	HPV_33	Global	2017-08-15	OP712072_1|Global|HPV_33|V523E11_HPV33|2017-08-15
OP712073.1	human papillomavirus 42	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E11_HPV42	Alphapapillomavirus 1	Alphapapillomavirus	Papillomaviridae	dsDNA	7920	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 42 isolate V523E11_HPV42, complete genome	HPV_42	Global	2017-08-15	OP712073_1|Global|HPV_42|V523E11_HPV42|2017-08-15
OP712074.1	human papillomavirus 45	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E11_HPV45	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7849	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 45 isolate V523E11_HPV45, complete genome	HPV_45	Global	2017-08-15	OP712074_1|Global|HPV_45|V523E11_HPV45|2017-08-15
OP712075.1	Human papillomavirus type 53	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E11_HPV53	Alphapapillomavirus 6	Alphapapillomavirus	Papillomaviridae	dsDNA	7859	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus type 53 isolate V523E11_HPV53, complete genome	HPV_53	Global	2017-08-15	OP712075_1|Global|HPV_53|V523E11_HPV53|2017-08-15
OP712076.1	human papillomavirus 59	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E11_HPV59	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7898	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 59 isolate V523E11_HPV59, complete genome	HPV_59	Global	2017-08-15	OP712076_1|Global|HPV_59|V523E11_HPV59|2017-08-15
OP712077.1	human papillomavirus 66	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E11_HPV66	Alphapapillomavirus 6	Alphapapillomavirus	Papillomaviridae	dsDNA	7824	partial	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 66 isolate V523E11_HPV66, partial genome	HPV_66	Global	2017-08-15	OP712077_1|Global|HPV_66|V523E11_HPV66|2017-08-15
OP712078.1	human papillomavirus 81	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E11_HPV81	Alphapapillomavirus 3	Alphapapillomavirus	Papillomaviridae	dsDNA	8059	partial	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 81 isolate V523E11_HPV81, partial genome	HPV_81	Global	2017-08-15	OP712078_1|Global|HPV_81|V523E11_HPV81|2017-08-15
OP712079.1	Human papillomavirus 16	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E12_HPV16	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7905	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus type 16 isolate V523E12_HPV16, complete genome	HPV_16	Global	2017-08-15	OP712079_1|Global|HPV_16|V523E12_HPV16|2017-08-15
OP712080.1	human papillomavirus 82	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E13_HPV82	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7869	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 82 isolate V523E13_HPV82, complete genome	HPV_82	Global	2017-08-15	OP712080_1|Global|HPV_82|V523E13_HPV82|2017-08-15
OP712081.1	human papillomavirus 86	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E13_HPV86	Alphapapillomavirus 3	Alphapapillomavirus	Papillomaviridae	dsDNA	7983	partial	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 86 isolate V523E13_HPV86, partial genome	HPV_86	Global	2017-08-15	OP712081_1|Global|HPV_86|V523E13_HPV86|2017-08-15
OP712082.1	human papillomavirus 87	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E13_HPV87	Alphapapillomavirus 3	Alphapapillomavirus	Papillomaviridae	dsDNA	7999	partial	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 87 isolate V523E13_HPV87, partial genome	HPV_87	Global	2017-08-15	OP712082_1|Global|HPV_87|V523E13_HPV87|2017-08-15
OP712083.1	human papillomavirus 89	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E13_HPV89	Alphapapillomavirus 3	Alphapapillomavirus	Papillomaviridae	dsDNA	8091	partial	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 89 isolate V523E13_HPV89, partial genome	HPV_89	Global	2017-08-15	OP712083_1|Global|HPV_89|V523E13_HPV89|2017-08-15
OP712084.1	human papillomavirus 11	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E15_HPV11	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7934	partial	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 11 isolate V523E15_HPV11, partial genome	HPV_11	Global	2017-08-15	OP712084_1|Global|HPV_11|V523E15_HPV11|2017-08-15
OP712085.1	human papillomavirus 33	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E15_HPV33	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7887	partial	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 33 isolate V523E15_HPV33, partial genome	HPV_33	Global	2017-08-15	OP712085_1|Global|HPV_33|V523E15_HPV33|2017-08-15
